Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71991801,2,"Wednesday, May 15, 2013 09:02:34 UTC",37.6183,-119.0442,1.0,4.10,32,"Central California"
uu,60023672,4,"Wednesday, May 15, 2013 08:51:22 UTC",39.4407,-111.2212,1.6,2.00,21,"Utah"
nc,71991781,2,"Wednesday, May 15, 2013 08:09:21 UTC",36.2962,-120.8697,1.4,5.20,26,"Central California"
nc,71991776,0,"Wednesday, May 15, 2013 08:08:53 UTC",38.8107,-122.8205,1.0,2.70,17,"Northern California"
us,c000gx4w,5,"Wednesday, May 15, 2013 08:02:33 UTC",-27.1917,-178.0041,4.9,147.00,72,"Kermadec Islands region"
ak,10717339,1,"Wednesday, May 15, 2013 08:01:20 UTC",63.3368,-150.0365,1.1,72.50, 6,"Central Alaska"
ak,10717338,2,"Wednesday, May 15, 2013 07:26:29 UTC",51.4437,-176.0561,2.5,22.40, 7,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10717327,1,"Wednesday, May 15, 2013 07:19:17 UTC",59.8096,-153.6052,2.9,121.70,41,"Southern Alaska"
uu,60023667,4,"Wednesday, May 15, 2013 07:11:45 UTC",39.4412,-111.2362,1.3,1.90,13,"Utah"
us,c000gx46,4,"Wednesday, May 15, 2013 07:10:32 UTC",65.5713,-134.9439,4.3,8.90,39,"northern Yukon Territory, Canada"
ak,10717311,1,"Wednesday, May 15, 2013 06:45:32 UTC",62.8663,-148.8277,3.2,63.70,53,"Central Alaska"
pr,13135002,0,"Wednesday, May 15, 2013 06:29:13 UTC",18.2943,-67.5541,2.8,9.00,15,"Mona Passage, Puerto Rico"
uu,60023657,4,"Wednesday, May 15, 2013 06:22:25 UTC",39.4390,-111.2257,1.6,3.30,22,"Utah"
nc,71991751,1,"Wednesday, May 15, 2013 06:21:47 UTC",38.8192,-122.8012,1.6,3.60,34,"Northern California"
nc,71991746,1,"Wednesday, May 15, 2013 06:18:42 UTC",38.8203,-122.8020,1.2,3.60,27,"Northern California"
nc,71991741,1,"Wednesday, May 15, 2013 06:13:49 UTC",38.8198,-122.8048,1.8,3.70,36,"Northern California"
nc,71991736,5,"Wednesday, May 15, 2013 06:11:55 UTC",38.8192,-122.8038,3.0,4.00,95,"Northern California"
hv,60499786,1,"Wednesday, May 15, 2013 06:11:35 UTC",19.3285,-155.0827,2.0,7.20,32,"Island of Hawaii, Hawaii"
hv,60499781,1,"Wednesday, May 15, 2013 05:55:14 UTC",19.4238,-155.5033,2.4,49.90,26,"Island of Hawaii, Hawaii"
nc,71991731,0,"Wednesday, May 15, 2013 05:44:10 UTC",38.8183,-122.8220,1.2,2.70,17,"Northern California"
hv,60499771,2,"Wednesday, May 15, 2013 05:35:08 UTC",19.3417,-155.0998,2.4,8.40,38,"Island of Hawaii, Hawaii"
us,c000gx33,7,"Wednesday, May 15, 2013 05:02:26 UTC",38.9101,88.1737,4.6,14.70,40,"southern Xinjiang, China"
ak,10717288,1,"Wednesday, May 15, 2013 04:58:37 UTC",62.0540,-144.9787,1.3,4.30, 6,"Central Alaska"
ci,15342857,3,"Wednesday, May 15, 2013 04:50:56 UTC",32.9020,-115.9430,1.3,6.20,27,"Southern California"
ak,10717277,1,"Wednesday, May 15, 2013 04:50:37 UTC",60.0390,-152.6662,3.3,121.30,54,"Southern Alaska"
ak,10717274,1,"Wednesday, May 15, 2013 04:35:47 UTC",65.8206,-146.6335,1.3,0.00, 6,"northern Alaska"
pr,13135001,0,"Wednesday, May 15, 2013 04:09:46 UTC",17.8645,-67.0645,2.5,10.00,11,"Puerto Rico region"
nc,71991706,2,"Wednesday, May 15, 2013 04:00:50 UTC",39.2222,-120.0865,1.2,7.30,17,"Northern California"
us,c000gx2d,7,"Wednesday, May 15, 2013 03:36:02 UTC",-4.5798,152.8242,5.7,69.10,89,"New Britain region, Papua New Guinea"
nc,71991691,1,"Wednesday, May 15, 2013 03:34:21 UTC",38.8255,-122.8033,1.2,3.10,23,"Northern California"
ci,15342825,4,"Wednesday, May 15, 2013 03:25:38 UTC",34.0510,-117.1702,1.8,8.40,76,"Greater Los Angeles area, California"
nc,71991676,0,"Wednesday, May 15, 2013 03:23:30 UTC",37.8885,-122.2615,1.0,9.40,12,"San Francisco Bay area, California"
hv,60499746,1,"Wednesday, May 15, 2013 03:21:40 UTC",19.4675,-155.2412,1.7,5.60,11,"Island of Hawaii, Hawaii"
nn,00411850,1,"Wednesday, May 15, 2013 03:14:51 UTC",38.2930,-119.0973,1.3,12.10,10,"Central California"
uu,60023647,2,"Wednesday, May 15, 2013 03:12:06 UTC",39.4203,-111.2190,1.3,6.70, 8,"Utah"
ci,15342809,2,"Wednesday, May 15, 2013 02:08:37 UTC",33.7305,-118.3315,1.6,11.50, 4,"Greater Los Angeles area, California"
us,c000gx1w,6,"Wednesday, May 15, 2013 01:21:43 UTC",-5.4879,151.6864,4.9,41.90,53,"New Britain region, Papua New Guinea"
ak,10717226,1,"Wednesday, May 15, 2013 01:20:36 UTC",62.9323,-151.1068,1.6,79.20, 9,"Central Alaska"
nc,71991651,0,"Wednesday, May 15, 2013 01:19:22 UTC",37.3998,-121.7515,1.1,5.70, 8,"San Francisco Bay area, California"
ak,10717221,1,"Wednesday, May 15, 2013 01:16:35 UTC",65.1438,-149.3493,1.3,0.10, 7,"northern Alaska"
ak,10717217,1,"Wednesday, May 15, 2013 01:10:05 UTC",65.1494,-149.3475,1.3,6.50,10,"northern Alaska"
ak,10717213,1,"Wednesday, May 15, 2013 01:01:02 UTC",64.9799,-149.0649,1.1,22.60, 9,"Central Alaska"
ak,10717205,1,"Wednesday, May 15, 2013 00:57:16 UTC",65.0369,-149.1074,1.8,20.30,13,"northern Alaska"
ci,15342793,2,"Wednesday, May 15, 2013 00:54:42 UTC",36.2253,-118.3240,1.5,4.40,14,"Central California"
ak,10717201,1,"Wednesday, May 15, 2013 00:53:56 UTC",65.1494,-149.3459,1.7,12.80,15,"northern Alaska"
uw,60530152,1,"Wednesday, May 15, 2013 00:46:55 UTC",47.3818,-122.7133,1.4,22.00,24,"Puget Sound region, Washington"
us,c000gx1h,4,"Wednesday, May 15, 2013 00:44:16 UTC",39.9155,72.3330,4.3,25.00,31,"Kyrgyzstan"
pr,13135000,0,"Wednesday, May 15, 2013 00:24:23 UTC",18.7297,-64.7614,2.8,25.00, 4,"Virgin Islands region"
ak,10717110,1,"Tuesday, May 14, 2013 23:43:27 UTC",65.1695,-149.3527,2.2,12.50,21,"northern Alaska"
ci,15342737,3,"Tuesday, May 14, 2013 23:41:24 UTC",33.0293,-116.4310,1.1,9.80,27,"Southern California"
us,c000gx0q,B,"Tuesday, May 14, 2013 23:39:17 UTC",-15.6134,-73.1315,5.7,112.00,90,"southern Peru"
us,c000gx0s,5,"Tuesday, May 14, 2013 23:32:36 UTC",-0.5564,130.3028,4.6,25.30,26,"Papua region, Indonesia"
ak,10717099,1,"Tuesday, May 14, 2013 23:22:10 UTC",63.7696,-146.6155,1.3,0.20,14,"Central Alaska"
nc,71991596,0,"Tuesday, May 14, 2013 23:22:08 UTC",38.7593,-122.7167,1.1,2.10,13,"Northern California"
ak,10717092,1,"Tuesday, May 14, 2013 23:07:02 UTC",64.9962,-147.4420,1.2,0.00,11,"Central Alaska"
ak,10716964,1,"Tuesday, May 14, 2013 22:35:13 UTC",61.2341,-147.0892,1.8,0.00, 8,"Southern Alaska"
ak,10716958,1,"Tuesday, May 14, 2013 22:33:20 UTC",61.6339,-146.6298,1.8,22.00,19,"Southern Alaska"
ak,10716957,1,"Tuesday, May 14, 2013 22:29:18 UTC",63.3016,-145.0127,1.3,0.20, 9,"Central Alaska"
ak,10716953,2,"Tuesday, May 14, 2013 22:15:27 UTC",51.2875,-176.3209,1.7,13.20, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15342689,2,"Tuesday, May 14, 2013 21:33:02 UTC",33.5225,-118.4768,2.1,10.00,10,"San Pedro Channel, California"
us,c000gwu9,8,"Tuesday, May 14, 2013 21:31:16 UTC",-18.6238,-173.4498,4.9,7.10,70,"Tonga"
nc,71991541,2,"Tuesday, May 14, 2013 21:10:58 UTC",37.3237,-122.1032,1.8,0.00,32,"San Francisco Bay area, California"
